Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
Pje Cnel J F Bogado 4561,"17","54900","3513600","3229","206682","1","64",SEGUNDO,ALMAGRO,"5"
BOGADO 4500,"18","53000","3392000","2944","188444","1","64",SEGUNDO,ALMAGRO,"5"
Pte H Yrigoyen 3381,"25","45000","2880000","2500","160000","1","64",SEGUNDO,ALMAGRO,"5"
PASAJE BOGADO 4500,"18","41000","2624000","2278","145778","1","64",SEGUNDO,ALMAGRO,"5"
Estado de Palestina 500,"18","58900","3769600","3272","209422","1","64",SEGUNDO,ALMAGRO,"5"
Mario Bravo al 200 0,"23","60000","3840000","3158","202105","1","64",SEGUNDO,ALMAGRO,"5"
Gascon al 1000 0,"47","75000","4800000","3750","240000","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3586,"42","46900","3001600","2233","142933","1","64",SEGUNDO,ALMAGRO,"5"
Colombres 585,"21","56900","3641600","2710","173410","1","64",SEGUNDO,ALMAGRO,"5"
Capital 0,"26","63000","4032000","2864","183273","1","64",SEGUNDO,ALMAGRO,"5"
COLOMBRES 43,"22","48000","3072000","2182","139636","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 200 0,"22","64000","4096000","2909","186182","1","64",SEGUNDO,ALMAGRO,"5"
Sanchez De Bustamante 515,"24","70000","4480000","3182","203636","1","64",SEGUNDO,ALMAGRO,"5"
SALGUERO 873,"22","59900","3833600","2723","174255","1","64",SEGUNDO,ALMAGRO,"5"
Rawson al 200 0,"23","60000","3840000","2609","166957","1","64",SEGUNDO,ALMAGRO,"5"
QUITO 4300,"26","72700","4652800","3161","202296","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 900,"23","65000","4160000","2826","180870","1","64",SEGUNDO,ALMAGRO,"5"
GASCON 1000,"47","105000","6720000","4565","292174","2","64",SEGUNDO,ALMAGRO,"5"
MARIO BRAVO 100,"24","70000","4480000","2917","186667","1","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre 3900,"24","49999","3199936","2083","133331","2","64",SEGUNDO,ALMAGRO,"5"
Lavalle 3900 0,"24","55000","3520000","2292","146667","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 563,"24","69000","4416000","2874","183923","1","64",SEGUNDO,ALMAGRO,"5"
GOMEZ VALENTIN al 3800 0,"30","80900","5177600","3236","207104","2","64",SEGUNDO,ALMAGRO,"5"
Yapeyu 506,"28","70000","4480000","2800","179200","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 707 0,"47","56000","3584000","2240","143360","1","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre  al 3900 0,"25","69000","4416000","2760","176640","1","64",SEGUNDO,ALMAGRO,"5"
Lambare 1000 0,"25","59900","3833600","2396","153344","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 4300,"25","62000","3968000","2480","158720","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 400,"78","79000","5056000","3160","202240","1","64",SEGUNDO,ALMAGRO,"5"
Jose E Colombres 411,"29","78000","4992000","3120","199680","1","64",SEGUNDO,ALMAGRO,"5"
Cnel J Pringles 600,"50","57000","3648000","2280","145920","1","64",SEGUNDO,ALMAGRO,"5"
Tte Gral Juan D Peron 3500,"25","65000","4160000","2600","166400","1","64",SEGUNDO,ALMAGRO,"5"
