m2,ambientes,barrio,usd_m2,precio_usd
115.0,4,CABALLITO,2435,280000
39.0,1,FLORES NORTE,3747,146118
177.0,5,FLORES NORTE,2768,490000
31.0,1,VILLA CRESPO,3290,102000
67.0,3,CABALLITO,3731,250000
45.0,2,COLEGIALES,2124,95600
33.0,1,FLORES NORTE,2576,85000
34.0,1,CABALLITO,3092,105138
52.0,2,RECOLETA,2500,130000
50.0,2,ALMAGRO,2490,124500
55.0,3,RECOLETA,2600,130000
111.0,5,BALVANERA,2162,240000
110.0,4,BELGRANO,4727,520000
123.0,3,COLEGIALES,2943,362000
58.0,3,VILLA URQUIZA,2586,150000
107.0,3,CABALLITO,2055,219900
41.0,2,ALMAGRO,3002,123100
76.0,4,VILLA URQUIZA,2594,179000
44.0,2,BALVANERA,1909,84000
45.0,2,FLORES NORTE,2333,105000
81.0,4,CABALLITO,2284,185000
46.0,2,BELGRANO,3384,155000
155.0,4,RECOLETA,3028,430000
24.0,1,RECOLETA,3438,82500
74.0,3,BALVANERA,1723,127500
149.0,4,FLORES NORTE,3020,450000
54.0,1,VILLA CRESPO,2220,119900
114.0,4,BALVANERA,1088,124000
56.0,2,FLORES NORTE,3814,213600
158.0,4,PALERMO,2848,450000
20.0,2,BALVANERA,2250,45000
83.0,2,ALMAGRO,2108,175000
102.0,4,VILLA CRESPO,2549,260000
65.0,3,COLEGIALES,4034,262200
58.0,2,BELGRANO,3288,190706
100.0,4,RECOLETA,2717,250000
38.0,2,VILLA CRESPO,2605,99000
79.0,3,CABALLITO,3560,281218
110.0,3,PALERMO,3364,370000
80.0,3,BELGRANO,5156,330000
44.0,2,VILLA URQUIZA,2591,114000
49.0,2,ALMAGRO,3444,155000
47.0,3,BALVANERA,3205,125000
116.0,4,VILLA CRESPO,2672,310000
74.0,3,CABALLITO,2943,217800
60.0,2,FLORES NORTE,1833,110000
42.0,1,VILLA URQUIZA,2429,102000
87.0,4,PALERMO,2758,239900
47.0,2,FLORES NORTE,5426,255000
164.0,5,VILLA CRESPO,1932,257000
35.0,2,RECOLETA,3571,125000
26.0,1,PALERMO,3423,89000
98.0,4,COLEGIALES,2946,290000
91.0,4,BELGRANO,3055,278000
120.0,5,BELGRANO,2667,320000
65.0,2,VILLA CRESPO,2754,179000
55.0,2,BELGRANO,4786,234500
112.0,4,VILLA URQUIZA,2227,235000
63.0,3,CABALLITO,4587,289000
33.0,1,PALERMO,3466,114390
56.0,3,VILLA URQUIZA,3036,170000
44.0,2,BELGRANO,3839,168900
46.0,2,FLORES NORTE,1739,80000
80.0,3,CABALLITO,2846,227687
47.0,2,BELGRANO,4808,226000
113.0,4,RECOLETA,2611,295000
26.0,1,COLEGIALES,2610,67869
62.0,2,BALVANERA,2726,169000
39.0,1,RECOLETA,4028,145000
192.0,3,VILLA URQUIZA,2240,430000
48.0,2,BALVANERA,1854,89000
82.0,4,RECOLETA,2927,240000
46.0,1,VILLA CRESPO,2391,110000
52.0,3,BALVANERA,2500,130000
92.0,3,RECOLETA,4130,380000
42.0,2,VILLA URQUIZA,3095,130000
90.0,3,COLEGIALES,3588,322875
37.0,1,ALMAGRO,3108,115000
88.0,3,FLORES NORTE,2679,150000
34.0,1,COLEGIALES,3515,119500
148.0,4,RECOLETA,2655,393000
34.0,1,PALERMO,4353,148000
68.0,2,CABALLITO,2647,180000
38.0,1,VILLA CRESPO,2482,69500
36.0,1,PALERMO,3333,120000
32.0,1,PALERMO,3438,110000
96.0,1,VILLA URQUIZA,3958,380000
115.0,4,CABALLITO,2087,240000
24.0,1,VILLA CRESPO,3890,93362
106.0,4,RECOLETA,3010,295000
84.0,3,FLORES NORTE,2738,230000
56.0,2,FLORES NORTE,2054,115000
75.0,2,PALERMO,2120,159000
66.0,3,PALERMO,4622,305054
92.0,4,BELGRANO,3049,250000
174.0,5,COLEGIALES,2356,410000
140.0,4,VILLA CRESPO,2423,315000
26.0,2,BALVANERA,1923,50000
